iteration,phase,parent_iteration,loss_type,loss_gamma,loss_alpha,use_class_weights,dropout_rate,head_hidden_features,learning_rate,num_epochs,freeze_backbone,weight_decay,scheduler_patience,scheduler_mode,early_stopping_enabled,early_stopping_patience,early_stopping_monitor,early_stopping_min_delta,rare_class_aug_enabled,threshold_optimization,auc_improvement_enabled
49,-,-,FocalLoss,3.50,0.5000,Yes,0.3000,-,0.0001,60,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
51,-,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0001,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
51,-,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0001,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
51,-,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0001,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
54,-,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0001,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
55,-,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0001,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
57,-,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
57,-,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
57,-,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
60,-,-,FocalLoss,2.00,0.7000,No,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-
61,-,-,FocalLoss,2.00,0.7000,No,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-
62,-,-,FocalLoss,2.00,0.7000,No,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-
62,-,-,FocalLoss,2.00,0.7000,No,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-
64,-,-,FocalLoss,2.00,0.7000,No,0.5000,-,0.0001,35,-,0.0100,5,min,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-
65,-,-,FocalLoss,2.00,0.7000,Yes,0.3000,-,0.0005,35,-,0.0001,5,min,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-
65,-,-,FocalLoss,2.00,0.7000,Yes,0.3000,-,0.0005,35,-,0.0001,5,min,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-
65,-,-,FocalLoss,2.00,0.7000,Yes,0.3000,-,0.0005,35,-,0.0001,5,min,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-
65,-,-,FocalLoss,2.00,0.7000,Yes,0.3000,-,0.0005,35,-,0.0001,5,min,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-
65,-,-,FocalLoss,2.00,0.7000,Yes,0.3000,-,0.0005,35,-,0.0001,5,min,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-
70,-,-,FocalLoss,2.00,0.7000,Yes,0.3000,-,0.0005,35,-,0.0001,5,min,Yes,10,val_f1,0.0010,Yes,per_class_fbeta_score,-
71,-,-,FocalLoss,2.00,0.7000,Yes,0.3000,-,0.0005,35,-,0.0001,5,min,Yes,10,val_f1,0.0010,Yes,per_class_fbeta_score,-
72,-,-,FocalLoss,2.00,0.7000,Yes,0.3000,-,0.0005,35,-,0.0001,5,max,Yes,10,val_f1,0.0010,Yes,per_class_fbeta_score,-
72,-,-,FocalLoss,2.00,0.7000,Yes,0.3000,-,0.0005,35,-,0.0001,5,max,Yes,10,val_f1,0.0010,Yes,per_class_fbeta_score,-
74,-,-,FocalLoss,2.00,0.7000,Yes,0.3000,-,0.0005,35,-,0.0001,5,max,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-
75,-,-,FocalLoss,2.00,-,No,0.3000,-,0.0005,35,-,0.0001,5,max,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-
75,-,-,FocalLoss,2.00,-,No,0.3000,-,0.0005,35,-,0.0001,5,max,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-
77,-,-,FocalLoss,2.00,-,No,0.3000,-,0.0005,35,-,0.0001,5,max,Yes,10,val_f1,0.0010,Yes,per_class_fbeta_score,-
78,-,-,FocalLoss,1.50,-,No,0.3000,-,0.0005,35,-,0.0001,5,max,Yes,10,val_f1,0.0010,Yes,per_class_fbeta_score,-
78,-,-,FocalLoss,1.50,-,No,0.3000,-,0.0005,35,-,0.0001,5,max,Yes,10,val_f1,0.0010,Yes,per_class_fbeta_score,-
80,PHASE_1_REPRODUCE,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
81,PHASE_1_REPRODUCE,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
82,PHASE_1_REPRODUCE,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,No,-,-,-,No,No,-
83,PHASE_1_REPRODUCE,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
84,PHASE_1_REPRODUCE,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
85,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
86,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
87,HEAD_UPGRADE,12,BCE,-,-,No,0.3000,512,0.0001,15,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
87,HEAD_UPGRADE,12,BCE,-,-,No,0.3000,512,0.0001,15,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
89,HEAD_UPGRADE,12,BCE,-,-,No,0.3000,512,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
89,HEAD_UPGRADE,12,BCE,-,-,No,0.3000,512,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
91,HEAD_UPGRADE,89,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
91,HEAD_UPGRADE,89,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
91,HEAD_UPGRADE,89,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
91,HEAD_UPGRADE,89,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
95,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
111,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
111,SMOTE_HEAD,91,BCE,-,-,No,0.3000,1024,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
112,SMOTE_HEAD,91,BCE,-,-,No,0.3000,-,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
112,SMOTE_HEAD,91,BCE,-,-,No,0.3000,-,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
112,SMOTE_HEAD,91,BCE,-,-,No,0.3000,-,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
112,SMOTE_HEAD,91,BCE,-,-,No,0.3000,-,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
112,SMOTE_HEAD,91,BCE,-,-,No,0.3000,-,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
112,SMOTE_HEAD,91,BCE,-,-,No,0.3000,-,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
112,SMOTE_HEAD,91,BCE,-,-,No,0.3000,-,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
112,SMOTE_HEAD,91,BCE,-,-,No,0.3000,-,0.0001,50,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
121,REPRESENTATION_FINETUNE,89,BCE,-,-,No,0.3000,-,1.00e-05,5,No,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
122,HERNIA_OVERSAMPLE,89,BCE,-,-,No,0.3000,-,0.0001,10,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
123,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
124,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
125,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
